name,rank,hp,str,mg,spd,dex,def,res,lck,cha,mov
평민,1,0,0,0,0,0,0,0,0,0,0
귀족,1,0,0,0,0,0,0,0,0,0,0
투사,2,1,1,0,0,0,0,0,0,0,0
사냥병,2,0,0,0,1,1,0,0,0,0,0
병사,2,0,1,0,0,0,1,0,0,0,0
타조병,2,0,0,0,3,1,0,0,1,0,1
주술사,2,0,0,1,0,0,0,1,0,0,0
검사,3,1,0,0,2,0,0,-1,0,0,1
브리건드,3,3,2,0,0,0,1,-1,0,0,1
세스타스,3,2,1,0,1,0,2,-1,0,0,1
아처,3,0,0,0,2,2,1,0,0,0,1
로그,3,0,0,0,3,1,0,1,1,-1,1
중갑 보병,3,2,1,0,-2,0,4,0,0,0,0
경기병,3,1,1,0,1,0,2,0,0,1,2
전차병,3,3,1,0,-2,3,3,0,0,1,1
기갑 타조병,3,1,0,0,2,0,2,0,0,0,2
천익병,3,0,0,0,4,1,1,2,0,1,2
샤먼,3,0,0,2,1,1,0,2,0,-1,1
프리스트,3,0,0,1,0,0,0,3,2,1,1
사도,4,3,0,0,7,3,0,0,0,0,1
무용수,4,4,0,0,9,5,0,0,0,5,1
워리어,4,4,4,0,1,0,0,0,0,0,1
대장장이,4,5,1,1,1,0,3,1,0,0,1
스나이퍼,4,1,0,0,5,5,0,0,0,0,1
포레스트 나이트,4,1,0,0,5,2,1,0,0,0,2
레인저,4,1,0,0,7,4,0,1,1,-1,1
가디언,4,3,1,0,1,0,3,4,0,0,1
헤비 아머,4,5,3,0,-5,0,9,-1,0,0,0
바딩거,4,3,0,0,1,0,1,0,0,3,2
카타프락트,4,5,2,0,-1,0,5,0,0,0,1
트루바두르,4,0,0,1,1,1,1,2,0,3,2
칼라드리우스,4,2,0,1,3,0,1,2,0,2,0
드라군,4,2,1,0,3,1,1,0,0,0,2
바테스,4,1,0,4,3,4,0,4,0,-1,1
비숍,4,1,0,3,1,0,0,5,3,3,1
